year,era,team,team_wikilink,record_wins,record_losses,pre_lottery_rank,combinations,won_pick_position,has_trade_protection_note,pick_note_refs,data_quality_flag,confirmatory_eligible,eligibility_reason
2003,weighted_1994_2018,Cleveland Cavaliers,Cleveland Cavaliers,17,65,1,225,1,0,,clean,0,published probabilities on Wikipedia disagree with exact Monte Carlo marginals across multiple teams (up to 46 sigma); likely a source transcription issue for the 13-team era
2003,weighted_1994_2018,Denver Nuggets,Denver Nuggets,17,65,1,225,3,0,,clean,0,published probabilities on Wikipedia disagree with exact Monte Carlo marginals across multiple teams (up to 46 sigma); likely a source transcription issue for the 13-team era
2003,weighted_1994_2018,Toronto Raptors,Toronto Raptors,24,58,3,157,4,0,,clean,0,published probabilities on Wikipedia disagree with exact Monte Carlo marginals across multiple teams (up to 46 sigma); likely a source transcription issue for the 13-team era
2003,weighted_1994_2018,Miami Heat,Miami Heat,25,57,4,120,5,0,,clean,0,published probabilities on Wikipedia disagree with exact Monte Carlo marginals across multiple teams (up to 46 sigma); likely a source transcription issue for the 13-team era
2003,weighted_1994_2018,Los Angeles Clippers,Los Angeles Clippers,28,54,5,89,6,0,,clean,0,published probabilities on Wikipedia disagree with exact Monte Carlo marginals across multiple teams (up to 46 sigma); likely a source transcription issue for the 13-team era
2003,weighted_1994_2018,Memphis Grizzlies,Memphis Grizzlies,28,54,5,64,2,0,,clean,0,published probabilities on Wikipedia disagree with exact Monte Carlo marginals across multiple teams (up to 46 sigma); likely a source transcription issue for the 13-team era
2003,weighted_1994_2018,Chicago Bulls,Chicago Bulls,30,52,7,44,7,0,,clean,0,published probabilities on Wikipedia disagree with exact Monte Carlo marginals across multiple teams (up to 46 sigma); likely a source transcription issue for the 13-team era
2003,weighted_1994_2018,Atlanta Hawks,Atlanta Hawks,35,47,8,29,8,0,,clean,0,published probabilities on Wikipedia disagree with exact Monte Carlo marginals across multiple teams (up to 46 sigma); likely a source transcription issue for the 13-team era
2003,weighted_1994_2018,New York Knicks,New York Knicks,37,45,9,15,9,0,,clean,0,published probabilities on Wikipedia disagree with exact Monte Carlo marginals across multiple teams (up to 46 sigma); likely a source transcription issue for the 13-team era
2003,weighted_1994_2018,Washington Wizards,Washington Wizards,37,45,9,14,10,0,,clean,0,published probabilities on Wikipedia disagree with exact Monte Carlo marginals across multiple teams (up to 46 sigma); likely a source transcription issue for the 13-team era
2003,weighted_1994_2018,Golden State Warriors,Golden State Warriors,38,44,11,7,11,0,,clean,0,published probabilities on Wikipedia disagree with exact Monte Carlo marginals across multiple teams (up to 46 sigma); likely a source transcription issue for the 13-team era
2003,weighted_1994_2018,Seattle SuperSonics,Seattle SuperSonics,40,42,12,6,12,0,,clean,0,published probabilities on Wikipedia disagree with exact Monte Carlo marginals across multiple teams (up to 46 sigma); likely a source transcription issue for the 13-team era
2003,weighted_1994_2018,Houston Rockets,Houston Rockets,43,39,13,5,13,0,,clean,0,published probabilities on Wikipedia disagree with exact Monte Carlo marginals across multiple teams (up to 46 sigma); likely a source transcription issue for the 13-team era
2006,weighted_1994_2018,Portland Trail Blazers,Portland Trail Blazers,21,61,1,250,4,0,,clean,1,ok
2006,weighted_1994_2018,New York Knicks,New York Knicks,23,59,2,199,2,1,a,resolved_ambiguity,1,ok
2006,weighted_1994_2018,Charlotte Bobcats,Charlotte Bobcats,26,56,3,138,3,0,,clean,1,ok
2006,weighted_1994_2018,Atlanta Hawks,Atlanta Hawks,26,56,3,137,5,0,,clean,1,ok
2006,weighted_1994_2018,Toronto Raptors,Toronto Raptors,27,55,5,88,1,0,,clean,1,ok
2006,weighted_1994_2018,Minnesota Timberwolves,Minnesota Timberwolves,33,49,6,53,6,0,,clean,1,ok
2006,weighted_1994_2018,Boston Celtics,Boston Celtics,33,49,6,53,7,0,,clean,1,ok
2006,weighted_1994_2018,Houston Rockets,Houston Rockets,34,48,8,23,8,0,,clean,1,ok
2006,weighted_1994_2018,Golden State Warriors,Golden State Warriors,34,48,8,22,9,0,,clean,1,ok
2006,weighted_1994_2018,Seattle SuperSonics,Seattle SuperSonics,35,47,10,11,10,0,,clean,1,ok
2006,weighted_1994_2018,Orlando Magic,Orlando Magic,36,46,11,8,11,0,,clean,1,ok
2006,weighted_1994_2018,New Orleans/Oklahoma City Hornets,New Orleans Hornets,38,44,12,7,12,0,,clean,1,ok
2006,weighted_1994_2018,Philadelphia 76ers,Philadelphia 76ers,38,44,12,6,13,0,,clean,1,ok
2006,weighted_1994_2018,Utah Jazz,Utah Jazz,41,41,14,5,14,0,,clean,1,ok
2007,weighted_1994_2018,Memphis Grizzlies,Memphis Grizzlies,22,60,1,250,4,0,,clean,1,ok
2007,weighted_1994_2018,Boston Celtics,Boston Celtics,24,58,2,199,5,0,,clean,1,ok
2007,weighted_1994_2018,Milwaukee Bucks,Milwaukee Bucks,28,54,3,156,6,0,,clean,1,ok
2007,weighted_1994_2018,Atlanta Hawks,Atlanta Hawks,30,52,4,119,3,1,1,resolved_ambiguity,1,ok
2007,weighted_1994_2018,Seattle SuperSonics,Seattle SuperSonics,31,51,5,88,2,0,,clean,1,ok
2007,weighted_1994_2018,Minnesota Timberwolves,Minnesota Timberwolves,32,50,6,53,7,0,,clean,1,ok
2007,weighted_1994_2018,Portland Trail Blazers,Portland Trail Blazers,32,50,6,53,1,0,,clean,1,ok
2007,weighted_1994_2018,Charlotte Bobcats,Charlotte Bobcats,33,49,8,19,8,0,,clean,1,ok
2007,weighted_1994_2018,New York Knicks,New York Knicks,33,49,8,19,9,1,2,resolved_ambiguity,1,ok
2007,weighted_1994_2018,Sacramento Kings,Sacramento Kings,33,49,8,18,10,0,,clean,1,ok
2007,weighted_1994_2018,Indiana Pacers,Indiana Pacers,35,47,11,8,11,1,3,resolved_ambiguity,1,ok
2007,weighted_1994_2018,Philadelphia 76ers,Philadelphia 76ers,35,47,11,7,12,0,,clean,1,ok
2007,weighted_1994_2018,New Orleans Hornets,New Orleans Hornets,39,43,13,6,13,0,,clean,1,ok
2007,weighted_1994_2018,Los Angeles Clippers,Los Angeles Clippers,40,42,14,5,14,0,,clean,1,ok
2008,weighted_1994_2018,Miami Heat,Miami Heat,15,67,1,250,2,0,,clean,1,ok
2008,weighted_1994_2018,Seattle SuperSonics,Seattle SuperSonics,20,62,2,199,4,0,,clean,1,ok
2008,weighted_1994_2018,Minnesota Timberwolves,Minnesota Timberwolves,22,60,3,138,3,0,,clean,1,ok
2008,weighted_1994_2018,Memphis Grizzlies,Memphis Grizzlies,22,60,3,137,5,0,,clean,1,ok
2008,weighted_1994_2018,New York Knicks,New York Knicks,23,59,5,76,6,0,,clean,1,ok
2008,weighted_1994_2018,Los Angeles Clippers,Los Angeles Clippers,23,59,5,75,7,0,,clean,1,ok
2008,weighted_1994_2018,Milwaukee Bucks,Milwaukee Bucks,26,56,7,43,8,0,,clean,1,ok
2008,weighted_1994_2018,Charlotte Bobcats,Charlotte Bobcats,32,50,8,28,9,0,,clean,1,ok
2008,weighted_1994_2018,Chicago Bulls,Chicago Bulls,33,49,9,17,1,0,,clean,1,ok
2008,weighted_1994_2018,New Jersey Nets,New Jersey Nets,34,48,10,11,10,0,,clean,1,ok
2008,weighted_1994_2018,Indiana Pacers,Indiana Pacers,36,46,11,8,11,0,,clean,1,ok
2008,weighted_1994_2018,Sacramento Kings,Sacramento Kings,38,44,12,7,12,0,,clean,1,ok
2008,weighted_1994_2018,Portland Trail Blazers,Portland Trail Blazers,41,41,13,6,13,0,,clean,1,ok
2008,weighted_1994_2018,Golden State Warriors,Golden State Warriors,48,34,14,5,14,0,,clean,1,ok
2009,weighted_1994_2018,Sacramento Kings,Sacramento Kings,17,65,1,250,4,0,,clean,1,ok
2009,weighted_1994_2018,Washington Wizards,Washington Wizards,19,63,2,178,5,1,1,resolved_ambiguity,1,ok
2009,weighted_1994_2018,Los Angeles Clippers,Los Angeles Clippers,19,63,2,177,1,0,,clean,1,ok
2009,weighted_1994_2018,Oklahoma City Thunder,Oklahoma City Thunder,23,59,4,119,3,0,,clean,1,ok
