year,field,source,classification,fetched,sha256,notes
2003,pre_lottery_rank,Wikipedia:2003_NBA_draft rev=1351633437,secondary,2026-05-10T17:31:04Z,1eeb0513878885e19bf467e702e4b4f9082555925e5b1c0edf3e200199145a6a,"Wikipedia {year}_NBA_draft 'Draft lottery' section. Wikipedia is a secondary compilation that cites primary sources (NBA.com press releases, ESPN reports) via inline refs; those citations are preserved in data/raw/wiki/*.wikitext."
2003,record_wins,Wikipedia:2003_NBA_draft rev=1351633437,secondary,2026-05-10T17:31:04Z,1eeb0513878885e19bf467e702e4b4f9082555925e5b1c0edf3e200199145a6a,"Wikipedia {year}_NBA_draft 'Draft lottery' section. Wikipedia is a secondary compilation that cites primary sources (NBA.com press releases, ESPN reports) via inline refs; those citations are preserved in data/raw/wiki/*.wikitext."
2003,record_losses,Wikipedia:2003_NBA_draft rev=1351633437,secondary,2026-05-10T17:31:04Z,1eeb0513878885e19bf467e702e4b4f9082555925e5b1c0edf3e200199145a6a,"Wikipedia {year}_NBA_draft 'Draft lottery' section. Wikipedia is a secondary compilation that cites primary sources (NBA.com press releases, ESPN reports) via inline refs; those citations are preserved in data/raw/wiki/*.wikitext."
2003,combinations,Wikipedia:2003_NBA_draft rev=1351633437,secondary,2026-05-10T17:31:04Z,1eeb0513878885e19bf467e702e4b4f9082555925e5b1c0edf3e200199145a6a,"Wikipedia {year}_NBA_draft 'Draft lottery' section. Wikipedia is a secondary compilation that cites primary sources (NBA.com press releases, ESPN reports) via inline refs; those citations are preserved in data/raw/wiki/*.wikitext."
2003,won_pick_position,Wikipedia:2003_NBA_draft rev=1351633437,secondary,2026-05-10T17:31:04Z,1eeb0513878885e19bf467e702e4b4f9082555925e5b1c0edf3e200199145a6a,"Wikipedia {year}_NBA_draft 'Draft lottery' section. Wikipedia is a secondary compilation that cites primary sources (NBA.com press releases, ESPN reports) via inline refs; those citations are preserved in data/raw/wiki/*.wikitext."
2006,pre_lottery_rank,Wikipedia:2006_NBA_draft rev=1352333636,secondary,2026-05-10T17:29:10Z,e2bc7e829685e9fce45df1fb88cc1a828f386cd96e57f71c0d83a9841f70e675,"Wikipedia {year}_NBA_draft 'Draft lottery' section. Wikipedia is a secondary compilation that cites primary sources (NBA.com press releases, ESPN reports) via inline refs; those citations are preserved in data/raw/wiki/*.wikitext."
2006,record_wins,Wikipedia:2006_NBA_draft rev=1352333636,secondary,2026-05-10T17:29:10Z,e2bc7e829685e9fce45df1fb88cc1a828f386cd96e57f71c0d83a9841f70e675,"Wikipedia {year}_NBA_draft 'Draft lottery' section. Wikipedia is a secondary compilation that cites primary sources (NBA.com press releases, ESPN reports) via inline refs; those citations are preserved in data/raw/wiki/*.wikitext."
2006,record_losses,Wikipedia:2006_NBA_draft rev=1352333636,secondary,2026-05-10T17:29:10Z,e2bc7e829685e9fce45df1fb88cc1a828f386cd96e57f71c0d83a9841f70e675,"Wikipedia {year}_NBA_draft 'Draft lottery' section. Wikipedia is a secondary compilation that cites primary sources (NBA.com press releases, ESPN reports) via inline refs; those citations are preserved in data/raw/wiki/*.wikitext."
2006,combinations,Wikipedia:2006_NBA_draft rev=1352333636,secondary,2026-05-10T17:29:10Z,e2bc7e829685e9fce45df1fb88cc1a828f386cd96e57f71c0d83a9841f70e675,"Wikipedia {year}_NBA_draft 'Draft lottery' section. Wikipedia is a secondary compilation that cites primary sources (NBA.com press releases, ESPN reports) via inline refs; those citations are preserved in data/raw/wiki/*.wikitext."
2006,won_pick_position,Wikipedia:2006_NBA_draft rev=1352333636,secondary,2026-05-10T17:29:10Z,e2bc7e829685e9fce45df1fb88cc1a828f386cd96e57f71c0d83a9841f70e675,"Wikipedia {year}_NBA_draft 'Draft lottery' section. Wikipedia is a secondary compilation that cites primary sources (NBA.com press releases, ESPN reports) via inline refs; those citations are preserved in data/raw/wiki/*.wikitext."
2007,pre_lottery_rank,Wikipedia:2007_NBA_draft rev=1343412486,secondary,2026-05-10T17:29:10Z,2d4dacf12c81b3dac6e06209af74e4ef667c3272a64f1486cf0e9ac45b04ff26,"Wikipedia {year}_NBA_draft 'Draft lottery' section. Wikipedia is a secondary compilation that cites primary sources (NBA.com press releases, ESPN reports) via inline refs; those citations are preserved in data/raw/wiki/*.wikitext."
2007,record_wins,Wikipedia:2007_NBA_draft rev=1343412486,secondary,2026-05-10T17:29:10Z,2d4dacf12c81b3dac6e06209af74e4ef667c3272a64f1486cf0e9ac45b04ff26,"Wikipedia {year}_NBA_draft 'Draft lottery' section. Wikipedia is a secondary compilation that cites primary sources (NBA.com press releases, ESPN reports) via inline refs; those citations are preserved in data/raw/wiki/*.wikitext."
2007,record_losses,Wikipedia:2007_NBA_draft rev=1343412486,secondary,2026-05-10T17:29:10Z,2d4dacf12c81b3dac6e06209af74e4ef667c3272a64f1486cf0e9ac45b04ff26,"Wikipedia {year}_NBA_draft 'Draft lottery' section. Wikipedia is a secondary compilation that cites primary sources (NBA.com press releases, ESPN reports) via inline refs; those citations are preserved in data/raw/wiki/*.wikitext."
2007,combinations,Wikipedia:2007_NBA_draft rev=1343412486,secondary,2026-05-10T17:29:10Z,2d4dacf12c81b3dac6e06209af74e4ef667c3272a64f1486cf0e9ac45b04ff26,"Wikipedia {year}_NBA_draft 'Draft lottery' section. Wikipedia is a secondary compilation that cites primary sources (NBA.com press releases, ESPN reports) via inline refs; those citations are preserved in data/raw/wiki/*.wikitext."
2007,won_pick_position,Wikipedia:2007_NBA_draft rev=1343412486,secondary,2026-05-10T17:29:10Z,2d4dacf12c81b3dac6e06209af74e4ef667c3272a64f1486cf0e9ac45b04ff26,"Wikipedia {year}_NBA_draft 'Draft lottery' section. Wikipedia is a secondary compilation that cites primary sources (NBA.com press releases, ESPN reports) via inline refs; those citations are preserved in data/raw/wiki/*.wikitext."
2008,pre_lottery_rank,Wikipedia:2008_NBA_draft rev=1352872691,secondary,2026-05-10T17:24:59Z,53998c09f0779607039bcfc11887e62091c594af11320d63f924db1623b0ebd1,"Wikipedia {year}_NBA_draft 'Draft lottery' section. Wikipedia is a secondary compilation that cites primary sources (NBA.com press releases, ESPN reports) via inline refs; those citations are preserved in data/raw/wiki/*.wikitext."
2008,record_wins,Wikipedia:2008_NBA_draft rev=1352872691,secondary,2026-05-10T17:24:59Z,53998c09f0779607039bcfc11887e62091c594af11320d63f924db1623b0ebd1,"Wikipedia {year}_NBA_draft 'Draft lottery' section. Wikipedia is a secondary compilation that cites primary sources (NBA.com press releases, ESPN reports) via inline refs; those citations are preserved in data/raw/wiki/*.wikitext."
2008,record_losses,Wikipedia:2008_NBA_draft rev=1352872691,secondary,2026-05-10T17:24:59Z,53998c09f0779607039bcfc11887e62091c594af11320d63f924db1623b0ebd1,"Wikipedia {year}_NBA_draft 'Draft lottery' section. Wikipedia is a secondary compilation that cites primary sources (NBA.com press releases, ESPN reports) via inline refs; those citations are preserved in data/raw/wiki/*.wikitext."
2008,combinations,Wikipedia:2008_NBA_draft rev=1352872691,secondary,2026-05-10T17:24:59Z,53998c09f0779607039bcfc11887e62091c594af11320d63f924db1623b0ebd1,"Wikipedia {year}_NBA_draft 'Draft lottery' section. Wikipedia is a secondary compilation that cites primary sources (NBA.com press releases, ESPN reports) via inline refs; those citations are preserved in data/raw/wiki/*.wikitext."
2008,won_pick_position,Wikipedia:2008_NBA_draft rev=1352872691,secondary,2026-05-10T17:24:59Z,53998c09f0779607039bcfc11887e62091c594af11320d63f924db1623b0ebd1,"Wikipedia {year}_NBA_draft 'Draft lottery' section. Wikipedia is a secondary compilation that cites primary sources (NBA.com press releases, ESPN reports) via inline refs; those citations are preserved in data/raw/wiki/*.wikitext."
2009,pre_lottery_rank,Wikipedia:2009_NBA_draft rev=1348228108,secondary,2026-05-10T17:27:12Z,b1c7ad4ce04a741af3f9aae68cb092b54292a9c3c110cb6b31b35064baae9aa6,"Wikipedia {year}_NBA_draft 'Draft lottery' section. Wikipedia is a secondary compilation that cites primary sources (NBA.com press releases, ESPN reports) via inline refs; those citations are preserved in data/raw/wiki/*.wikitext."
2009,record_wins,Wikipedia:2009_NBA_draft rev=1348228108,secondary,2026-05-10T17:27:12Z,b1c7ad4ce04a741af3f9aae68cb092b54292a9c3c110cb6b31b35064baae9aa6,"Wikipedia {year}_NBA_draft 'Draft lottery' section. Wikipedia is a secondary compilation that cites primary sources (NBA.com press releases, ESPN reports) via inline refs; those citations are preserved in data/raw/wiki/*.wikitext."
2009,record_losses,Wikipedia:2009_NBA_draft rev=1348228108,secondary,2026-05-10T17:27:12Z,b1c7ad4ce04a741af3f9aae68cb092b54292a9c3c110cb6b31b35064baae9aa6,"Wikipedia {year}_NBA_draft 'Draft lottery' section. Wikipedia is a secondary compilation that cites primary sources (NBA.com press releases, ESPN reports) via inline refs; those citations are preserved in data/raw/wiki/*.wikitext."
2009,combinations,Wikipedia:2009_NBA_draft rev=1348228108,secondary,2026-05-10T17:27:12Z,b1c7ad4ce04a741af3f9aae68cb092b54292a9c3c110cb6b31b35064baae9aa6,"Wikipedia {year}_NBA_draft 'Draft lottery' section. Wikipedia is a secondary compilation that cites primary sources (NBA.com press releases, ESPN reports) via inline refs; those citations are preserved in data/raw/wiki/*.wikitext."
2009,won_pick_position,Wikipedia:2009_NBA_draft rev=1348228108,secondary,2026-05-10T17:27:12Z,b1c7ad4ce04a741af3f9aae68cb092b54292a9c3c110cb6b31b35064baae9aa6,"Wikipedia {year}_NBA_draft 'Draft lottery' section. Wikipedia is a secondary compilation that cites primary sources (NBA.com press releases, ESPN reports) via inline refs; those citations are preserved in data/raw/wiki/*.wikitext."
2010,pre_lottery_rank,Wikipedia:2010_NBA_draft rev=1353006260,secondary,2026-05-10T17:27:13Z,28da9ac7dd21db3d358b55951761c7be6e11380a2ce41f78ce4d2fdb45c01548,"Wikipedia {year}_NBA_draft 'Draft lottery' section. Wikipedia is a secondary compilation that cites primary sources (NBA.com press releases, ESPN reports) via inline refs; those citations are preserved in data/raw/wiki/*.wikitext."
2010,record_wins,Wikipedia:2010_NBA_draft rev=1353006260,secondary,2026-05-10T17:27:13Z,28da9ac7dd21db3d358b55951761c7be6e11380a2ce41f78ce4d2fdb45c01548,"Wikipedia {year}_NBA_draft 'Draft lottery' section. Wikipedia is a secondary compilation that cites primary sources (NBA.com press releases, ESPN reports) via inline refs; those citations are preserved in data/raw/wiki/*.wikitext."
2010,record_losses,Wikipedia:2010_NBA_draft rev=1353006260,secondary,2026-05-10T17:27:13Z,28da9ac7dd21db3d358b55951761c7be6e11380a2ce41f78ce4d2fdb45c01548,"Wikipedia {year}_NBA_draft 'Draft lottery' section. Wikipedia is a secondary compilation that cites primary sources (NBA.com press releases, ESPN reports) via inline refs; those citations are preserved in data/raw/wiki/*.wikitext."
2010,combinations,Wikipedia:2010_NBA_draft rev=1353006260,secondary,2026-05-10T17:27:13Z,28da9ac7dd21db3d358b55951761c7be6e11380a2ce41f78ce4d2fdb45c01548,"Wikipedia {year}_NBA_draft 'Draft lottery' section. Wikipedia is a secondary compilation that cites primary sources (NBA.com press releases, ESPN reports) via inline refs; those citations are preserved in data/raw/wiki/*.wikitext."
2010,won_pick_position,Wikipedia:2010_NBA_draft rev=1353006260,secondary,2026-05-10T17:27:13Z,28da9ac7dd21db3d358b55951761c7be6e11380a2ce41f78ce4d2fdb45c01548,"Wikipedia {year}_NBA_draft 'Draft lottery' section. Wikipedia is a secondary compilation that cites primary sources (NBA.com press releases, ESPN reports) via inline refs; those citations are preserved in data/raw/wiki/*.wikitext."
2011,pre_lottery_rank,Wikipedia:2011_NBA_draft rev=1347027215,secondary,2026-05-10T17:27:14Z,80304097f99953f73fa52a4e404501a5b934dfe7dac0bd328638b42dbcf71102,"Wikipedia {year}_NBA_draft 'Draft lottery' section. Wikipedia is a secondary compilation that cites primary sources (NBA.com press releases, ESPN reports) via inline refs; those citations are preserved in data/raw/wiki/*.wikitext."
2011,record_wins,Wikipedia:2011_NBA_draft rev=1347027215,secondary,2026-05-10T17:27:14Z,80304097f99953f73fa52a4e404501a5b934dfe7dac0bd328638b42dbcf71102,"Wikipedia {year}_NBA_draft 'Draft lottery' section. Wikipedia is a secondary compilation that cites primary sources (NBA.com press releases, ESPN reports) via inline refs; those citations are preserved in data/raw/wiki/*.wikitext."
2011,record_losses,Wikipedia:2011_NBA_draft rev=1347027215,secondary,2026-05-10T17:27:14Z,80304097f99953f73fa52a4e404501a5b934dfe7dac0bd328638b42dbcf71102,"Wikipedia {year}_NBA_draft 'Draft lottery' section. Wikipedia is a secondary compilation that cites primary sources (NBA.com press releases, ESPN reports) via inline refs; those citations are preserved in data/raw/wiki/*.wikitext."
2011,combinations,Wikipedia:2011_NBA_draft rev=1347027215,secondary,2026-05-10T17:27:14Z,80304097f99953f73fa52a4e404501a5b934dfe7dac0bd328638b42dbcf71102,"Wikipedia {year}_NBA_draft 'Draft lottery' section. Wikipedia is a secondary compilation that cites primary sources (NBA.com press releases, ESPN reports) via inline refs; those citations are preserved in data/raw/wiki/*.wikitext."
2011,won_pick_position,Wikipedia:2011_NBA_draft rev=1347027215,secondary,2026-05-10T17:27:14Z,80304097f99953f73fa52a4e404501a5b934dfe7dac0bd328638b42dbcf71102,"Wikipedia {year}_NBA_draft 'Draft lottery' section. Wikipedia is a secondary compilation that cites primary sources (NBA.com press releases, ESPN reports) via inline refs; those citations are preserved in data/raw/wiki/*.wikitext."
2012,pre_lottery_rank,Wikipedia:2012_NBA_draft rev=1351438394,secondary,2026-05-10T17:27:15Z,0da459eebc215075a2aff8daa9fe5caf7045ca3a06c81ed475a03c3b83458980,"Wikipedia {year}_NBA_draft 'Draft lottery' section. Wikipedia is a secondary compilation that cites primary sources (NBA.com press releases, ESPN reports) via inline refs; those citations are preserved in data/raw/wiki/*.wikitext."
2012,record_wins,Wikipedia:2012_NBA_draft rev=1351438394,secondary,2026-05-10T17:27:15Z,0da459eebc215075a2aff8daa9fe5caf7045ca3a06c81ed475a03c3b83458980,"Wikipedia {year}_NBA_draft 'Draft lottery' section. Wikipedia is a secondary compilation that cites primary sources (NBA.com press releases, ESPN reports) via inline refs; those citations are preserved in data/raw/wiki/*.wikitext."
2012,record_losses,Wikipedia:2012_NBA_draft rev=1351438394,secondary,2026-05-10T17:27:15Z,0da459eebc215075a2aff8daa9fe5caf7045ca3a06c81ed475a03c3b83458980,"Wikipedia {year}_NBA_draft 'Draft lottery' section. Wikipedia is a secondary compilation that cites primary sources (NBA.com press releases, ESPN reports) via inline refs; those citations are preserved in data/raw/wiki/*.wikitext."
2012,combinations,Wikipedia:2012_NBA_draft rev=1351438394,secondary,2026-05-10T17:27:15Z,0da459eebc215075a2aff8daa9fe5caf7045ca3a06c81ed475a03c3b83458980,"Wikipedia {year}_NBA_draft 'Draft lottery' section. Wikipedia is a secondary compilation that cites primary sources (NBA.com press releases, ESPN reports) via inline refs; those citations are preserved in data/raw/wiki/*.wikitext."
2012,won_pick_position,Wikipedia:2012_NBA_draft rev=1351438394,secondary,2026-05-10T17:27:15Z,0da459eebc215075a2aff8daa9fe5caf7045ca3a06c81ed475a03c3b83458980,"Wikipedia {year}_NBA_draft 'Draft lottery' section. Wikipedia is a secondary compilation that cites primary sources (NBA.com press releases, ESPN reports) via inline refs; those citations are preserved in data/raw/wiki/*.wikitext."
2013,pre_lottery_rank,Wikipedia:2013_NBA_draft rev=1351243734,secondary,2026-05-10T17:27:16Z,2b924434b719c561e5037caca610c7641a2ada956baf4307b11366d61daf2e23,"Wikipedia {year}_NBA_draft 'Draft lottery' section. Wikipedia is a secondary compilation that cites primary sources (NBA.com press releases, ESPN reports) via inline refs; those citations are preserved in data/raw/wiki/*.wikitext."
2013,record_wins,Wikipedia:2013_NBA_draft rev=1351243734,secondary,2026-05-10T17:27:16Z,2b924434b719c561e5037caca610c7641a2ada956baf4307b11366d61daf2e23,"Wikipedia {year}_NBA_draft 'Draft lottery' section. Wikipedia is a secondary compilation that cites primary sources (NBA.com press releases, ESPN reports) via inline refs; those citations are preserved in data/raw/wiki/*.wikitext."
2013,record_losses,Wikipedia:2013_NBA_draft rev=1351243734,secondary,2026-05-10T17:27:16Z,2b924434b719c561e5037caca610c7641a2ada956baf4307b11366d61daf2e23,"Wikipedia {year}_NBA_draft 'Draft lottery' section. Wikipedia is a secondary compilation that cites primary sources (NBA.com press releases, ESPN reports) via inline refs; those citations are preserved in data/raw/wiki/*.wikitext."
2013,combinations,Wikipedia:2013_NBA_draft rev=1351243734,secondary,2026-05-10T17:27:16Z,2b924434b719c561e5037caca610c7641a2ada956baf4307b11366d61daf2e23,"Wikipedia {year}_NBA_draft 'Draft lottery' section. Wikipedia is a secondary compilation that cites primary sources (NBA.com press releases, ESPN reports) via inline refs; those citations are preserved in data/raw/wiki/*.wikitext."
2013,won_pick_position,Wikipedia:2013_NBA_draft rev=1351243734,secondary,2026-05-10T17:27:16Z,2b924434b719c561e5037caca610c7641a2ada956baf4307b11366d61daf2e23,"Wikipedia {year}_NBA_draft 'Draft lottery' section. Wikipedia is a secondary compilation that cites primary sources (NBA.com press releases, ESPN reports) via inline refs; those citations are preserved in data/raw/wiki/*.wikitext."
2014,pre_lottery_rank,Wikipedia:2014_NBA_draft rev=1350975306,secondary,2026-05-10T17:24:59Z,48b0cadc82cd61bac3f2f42d3fca536b0245409a1561a33b1be3ce4b300152ed,"Wikipedia {year}_NBA_draft 'Draft lottery' section. Wikipedia is a secondary compilation that cites primary sources (NBA.com press releases, ESPN reports) via inline refs; those citations are preserved in data/raw/wiki/*.wikitext."
2014,record_wins,Wikipedia:2014_NBA_draft rev=1350975306,secondary,2026-05-10T17:24:59Z,48b0cadc82cd61bac3f2f42d3fca536b0245409a1561a33b1be3ce4b300152ed,"Wikipedia {year}_NBA_draft 'Draft lottery' section. Wikipedia is a secondary compilation that cites primary sources (NBA.com press releases, ESPN reports) via inline refs; those citations are preserved in data/raw/wiki/*.wikitext."
2014,record_losses,Wikipedia:2014_NBA_draft rev=1350975306,secondary,2026-05-10T17:24:59Z,48b0cadc82cd61bac3f2f42d3fca536b0245409a1561a33b1be3ce4b300152ed,"Wikipedia {year}_NBA_draft 'Draft lottery' section. Wikipedia is a secondary compilation that cites primary sources (NBA.com press releases, ESPN reports) via inline refs; those citations are preserved in data/raw/wiki/*.wikitext."
2014,combinations,Wikipedia:2014_NBA_draft rev=1350975306,secondary,2026-05-10T17:24:59Z,48b0cadc82cd61bac3f2f42d3fca536b0245409a1561a33b1be3ce4b300152ed,"Wikipedia {year}_NBA_draft 'Draft lottery' section. Wikipedia is a secondary compilation that cites primary sources (NBA.com press releases, ESPN reports) via inline refs; those citations are preserved in data/raw/wiki/*.wikitext."
2014,won_pick_position,Wikipedia:2014_NBA_draft rev=1350975306,secondary,2026-05-10T17:24:59Z,48b0cadc82cd61bac3f2f42d3fca536b0245409a1561a33b1be3ce4b300152ed,"Wikipedia {year}_NBA_draft 'Draft lottery' section. Wikipedia is a secondary compilation that cites primary sources (NBA.com press releases, ESPN reports) via inline refs; those citations are preserved in data/raw/wiki/*.wikitext."
2015,pre_lottery_rank,Wikipedia:2015_NBA_draft rev=1352670870,secondary,2026-05-10T17:27:17Z,cb3f3088ce60f0b4e7fb75902fad3d890f9477e589f32f7315b8f5ef4365a898,"Wikipedia {year}_NBA_draft 'Draft lottery' section. Wikipedia is a secondary compilation that cites primary sources (NBA.com press releases, ESPN reports) via inline refs; those citations are preserved in data/raw/wiki/*.wikitext."
2015,record_wins,Wikipedia:2015_NBA_draft rev=1352670870,secondary,2026-05-10T17:27:17Z,cb3f3088ce60f0b4e7fb75902fad3d890f9477e589f32f7315b8f5ef4365a898,"Wikipedia {year}_NBA_draft 'Draft lottery' section. Wikipedia is a secondary compilation that cites primary sources (NBA.com press releases, ESPN reports) via inline refs; those citations are preserved in data/raw/wiki/*.wikitext."
2015,record_losses,Wikipedia:2015_NBA_draft rev=1352670870,secondary,2026-05-10T17:27:17Z,cb3f3088ce60f0b4e7fb75902fad3d890f9477e589f32f7315b8f5ef4365a898,"Wikipedia {year}_NBA_draft 'Draft lottery' section. Wikipedia is a secondary compilation that cites primary sources (NBA.com press releases, ESPN reports) via inline refs; those citations are preserved in data/raw/wiki/*.wikitext."
2015,combinations,Wikipedia:2015_NBA_draft rev=1352670870,secondary,2026-05-10T17:27:17Z,cb3f3088ce60f0b4e7fb75902fad3d890f9477e589f32f7315b8f5ef4365a898,"Wikipedia {year}_NBA_draft 'Draft lottery' section. Wikipedia is a secondary compilation that cites primary sources (NBA.com press releases, ESPN reports) via inline refs; those citations are preserved in data/raw/wiki/*.wikitext."
2015,won_pick_position,Wikipedia:2015_NBA_draft rev=1352670870,secondary,2026-05-10T17:27:17Z,cb3f3088ce60f0b4e7fb75902fad3d890f9477e589f32f7315b8f5ef4365a898,"Wikipedia {year}_NBA_draft 'Draft lottery' section. Wikipedia is a secondary compilation that cites primary sources (NBA.com press releases, ESPN reports) via inline refs; those citations are preserved in data/raw/wiki/*.wikitext."
2016,pre_lottery_rank,Wikipedia:2016_NBA_draft rev=1350720333,secondary,2026-05-10T17:27:18Z,f7f612627468a56eb092bc4f900ea6c2ad71e6933f54f57de57089a61661aa4a,"Wikipedia {year}_NBA_draft 'Draft lottery' section. Wikipedia is a secondary compilation that cites primary sources (NBA.com press releases, ESPN reports) via inline refs; those citations are preserved in data/raw/wiki/*.wikitext."
2016,record_wins,Wikipedia:2016_NBA_draft rev=1350720333,secondary,2026-05-10T17:27:18Z,f7f612627468a56eb092bc4f900ea6c2ad71e6933f54f57de57089a61661aa4a,"Wikipedia {year}_NBA_draft 'Draft lottery' section. Wikipedia is a secondary compilation that cites primary sources (NBA.com press releases, ESPN reports) via inline refs; those citations are preserved in data/raw/wiki/*.wikitext."
2016,record_losses,Wikipedia:2016_NBA_draft rev=1350720333,secondary,2026-05-10T17:27:18Z,f7f612627468a56eb092bc4f900ea6c2ad71e6933f54f57de57089a61661aa4a,"Wikipedia {year}_NBA_draft 'Draft lottery' section. Wikipedia is a secondary compilation that cites primary sources (NBA.com press releases, ESPN reports) via inline refs; those citations are preserved in data/raw/wiki/*.wikitext."
2016,combinations,Wikipedia:2016_NBA_draft rev=1350720333,secondary,2026-05-10T17:27:18Z,f7f612627468a56eb092bc4f900ea6c2ad71e6933f54f57de57089a61661aa4a,"Wikipedia {year}_NBA_draft 'Draft lottery' section. Wikipedia is a secondary compilation that cites primary sources (NBA.com press releases, ESPN reports) via inline refs; those citations are preserved in data/raw/wiki/*.wikitext."
2016,won_pick_position,Wikipedia:2016_NBA_draft rev=1350720333,secondary,2026-05-10T17:27:18Z,f7f612627468a56eb092bc4f900ea6c2ad71e6933f54f57de57089a61661aa4a,"Wikipedia {year}_NBA_draft 'Draft lottery' section. Wikipedia is a secondary compilation that cites primary sources (NBA.com press releases, ESPN reports) via inline refs; those citations are preserved in data/raw/wiki/*.wikitext."
