year_removed,S_obs_loyo,p_value_loyo,flipped_vs_headline
2006,133.4105,0.513628,0
2007,131.6605,0.626747,0
2008,131.9428,0.609427,0
2009,133.0248,0.539212,0
2010,132.6704,0.561777,0
2011,131.8787,0.613807,0
2012,134.6350,0.434657,0
2013,133.0612,0.537567,0
2014,132.2652,0.589379,0
2015,134.3774,0.452192,0
2016,135.0133,0.411318,0
2017,132.9996,0.542011,0
2018,133.3254,0.519097,0
2019,128.3098,0.652334,0
2020,130.6382,0.504991,0
2021,131.3185,0.459684,0
2022,131.3271,0.460961,0
2023,131.6405,0.440586,0
2024,128.8379,0.620797,0
2025,128.4702,0.643681,0
