year,observed_tuple_prob,observed_nll,two_sided_p,bh_adjusted_p,reject_bh_q_0_10
2019,0.000013,11.2506,0.049306,0.673706,0
2025,0.000024,10.6375,0.099608,0.673706,0
2024,0.000034,10.2892,0.141126,0.673706,0
2007,0.000656,7.3294,0.179914,0.673706,0
2011,0.000714,7.2446,0.193477,0.673706,0
2008,0.000766,7.1743,0.202112,0.673706,0
2014,0.001193,6.7313,0.261712,0.747748,0
2010,0.001800,6.3200,0.352025,0.794356,0
2017,0.002416,6.0256,0.415221,0.794356,0
2009,0.002625,5.9427,0.423407,0.794356,0
2013,0.002711,5.9104,0.436896,0.794356,0
2018,0.003511,5.6519,0.507132,0.802841,0
2006,0.003725,5.5927,0.521846,0.802841,0
2020,0.000256,8.2703,0.621782,0.888261,0
2015,0.009554,4.6508,0.798529,0.963345,0
2021,0.000446,7.7152,0.824050,0.963345,0
2022,0.000468,7.6670,0.838614,0.963345,0
2012,0.012739,4.3631,0.867010,0.963345,0
2023,0.000682,7.2905,0.948603,0.998530,0
2016,0.018869,3.9702,1.000000,1.000000,0
